image_id,point_id,x_px,y_px,observation,geometry_review_candidate,training_eligible,target_reference,target_error_px
S01,E01,419.42482271263145,722.5812096340635,HEAD_HAIR,False,False,UNAVAILABLE,
S01,E02,606.8026114249495,692.2147380270836,VISIBLE_BACK_CORE,True,False,UNAVAILABLE,
S01,E03,842.1798105048183,731.3085925275407,VISIBLE_BACK_CORE,True,False,UNAVAILABLE,
S01,E04,1000.4016011764531,755.9393417506201,VISIBLE_BACK_CORE,True,False,UNAVAILABLE,
S01,E05,1234.1767610222553,788.9802380235095,VISIBLE_BACK_CORE,True,False,UNAVAILABLE,
S01,E06,1511.5261201617843,715.5256747005213,CLOTHED,False,False,UNAVAILABLE,
S01,E07,411.75056663283874,909.5983863660404,UNKNOWN,False,False,UNAVAILABLE,
S01,E08,620.4360745284002,623.4134511815785,UNKNOWN,False,False,UNAVAILABLE,
S01,E09,548.0638348353827,880.7889414756601,UNKNOWN,False,False,UNAVAILABLE,
S01,E10,689.3025631364924,598.241095332539,UNKNOWN,False,False,UNAVAILABLE,
S01,E11,757.8512627141179,813.169008785619,VISIBLE_BACK_CORE,True,False,UNAVAILABLE,
S01,E12,833.8099779316624,622.485814741985,BACKGROUND,False,False,UNAVAILABLE,
S01,E13,831.9213919207393,952.4189500260143,VISIBLE_BACK_CORE,True,False,UNAVAILABLE,
S01,E14,922.2224152653873,684.9741130917043,UNKNOWN,False,False,UNAVAILABLE,
S01,E15,1063.6850387914749,976.2855530935301,VISIBLE_BACK_CORE,True,False,UNAVAILABLE,
S01,E16,1064.323495662444,758.322089595244,VISIBLE_BACK_CORE,True,False,UNAVAILABLE,
S01,E17,1316.5562110596616,896.8145809095331,UNKNOWN,False,False,UNAVAILABLE,
S01,E18,1259.274495089846,743.8981603257024,UNKNOWN,False,False,UNAVAILABLE,
S01,E19,1540.1173956753328,882.1834251675193,CLOTHED,False,False,UNAVAILABLE,
S01,E20,1407.9267852024288,689.7008711626961,UNKNOWN,False,False,UNAVAILABLE,
S03,E01,367.72988410880396,490.638595703641,UNKNOWN,False,False,UNAVAILABLE,
S03,E02,520.5182173745121,514.0782254747514,ROBOT_OCCLUDED,False,False,UNAVAILABLE,
S03,E03,751.9942744973417,597.6453899203351,ROBOT_OCCLUDED,False,False,UNAVAILABLE,
S03,E04,959.4348213013775,653.3008050156653,VISIBLE_BACK_CORE,True,False,UNAVAILABLE,
S03,E05,1292.1993122287447,706.0241374113743,VISIBLE_BACK_CORE,True,False,UNAVAILABLE,
S03,E06,1713.7884203306596,726.7162304831004,CLOTHED,False,False,UNAVAILABLE,
S03,E07,311.505343768304,1056.670389941873,UNKNOWN,False,False,UNAVAILABLE,
S03,E08,789.957592201651,347.65149609277717,ROBOT_OCCLUDED,False,False,UNAVAILABLE,
S03,E09,396.31414481701665,900.9944725645291,VISIBLE_BACK_CORE,True,False,UNAVAILABLE,
S03,E10,728.508122400267,326.2954987411906,ROBOT_OCCLUDED,False,False,UNAVAILABLE,
S03,E11,612.2998073887597,739.7920808058298,ROBOT_OCCLUDED,False,False,UNAVAILABLE,
S03,E12,805.4192935629927,409.50764277041935,ROBOT_OCCLUDED,False,False,UNAVAILABLE,
S03,E13,741.5869872097176,903.9124789149332,VISIBLE_BACK_CORE,True,False,UNAVAILABLE,
S03,E14,973.7967349435753,454.6753606855403,UNKNOWN,False,False,UNAVAILABLE,
S03,E15,1010.4004279503689,960.5914707009615,VISIBLE_BACK_CORE,True,False,UNAVAILABLE,
S03,E16,1159.1579035863126,553.5180729608572,UNKNOWN,False,False,UNAVAILABLE,
S03,E17,1334.5677827556228,933.1852362349141,VISIBLE_BACK_CORE,True,False,UNAVAILABLE,
S03,E18,1392.168250673748,578.1071415545093,UNKNOWN,False,False,UNAVAILABLE,
S03,E19,1626.3167163097123,1019.3254835114672,CLOTHED,False,False,UNAVAILABLE,
S03,E20,1632.2968988980501,542.6642541038149,UNKNOWN,False,False,UNAVAILABLE,
S05,E01,306.1228502108304,645.0256701850833,HEAD_HAIR,False,False,UNAVAILABLE,
S05,E02,475.64484770637483,614.0723381456178,UNKNOWN,False,False,UNAVAILABLE,
S05,E03,756.997338427105,599.5245178329758,UNKNOWN,False,False,UNAVAILABLE,
S05,E04,991.2167863918803,622.1801461714797,UNKNOWN,False,False,UNAVAILABLE,
S05,E05,1335.1258903783805,646.8217977208351,VISIBLE_BACK_CORE,True,False,UNAVAILABLE,
S05,E06,1780.8263066462725,542.2208243700089,CLOTHED,False,False,UNAVAILABLE,
S05,E07,350.9319688643201,1143.5714810406616,OUT_OF_IMAGE,False,False,UNAVAILABLE,
S05,E08,651.7908881506562,672.2178290755576,VISIBLE_BACK_CORE,True,False,UNAVAILABLE,
S05,E09,367.45421321158835,901.2200983058231,VISIBLE_BACK_CORE,True,False,UNAVAILABLE,
S05,E10,657.9782247459439,558.5902620942384,UNKNOWN,False,False,UNAVAILABLE,
S05,E11,616.4634684080206,683.8961905183502,VISIBLE_BACK_CORE,True,False,UNAVAILABLE,
S05,E12,783.4962345328505,504.23411516668966,UNKNOWN,False,False,UNAVAILABLE,
S05,E13,799.1139431233671,820.2498813927234,VISIBLE_BACK_CORE,True,False,UNAVAILABLE,
S05,E14,945.4677504975936,568.663685025267,UNKNOWN,False,False,UNAVAILABLE,
S05,E15,1117.906838066821,881.3340019883615,VISIBLE_BACK_CORE,True,False,UNAVAILABLE,
S05,E16,1148.7491814815155,624.8672552466967,VISIBLE_BACK_CORE,True,False,UNAVAILABLE,
S05,E17,1459.0493669649527,788.694417251394,VISIBLE_BACK_CORE,True,False,UNAVAILABLE,
S05,E18,1392.5532314150573,574.5989254035891,VISIBLE_BACK_CORE,True,False,UNAVAILABLE,
S05,E19,1813.122327812127,790.64090230597,CLOTHED,False,False,UNAVAILABLE,
S05,E20,1622.4277134170966,516.9421935533272,UNKNOWN,False,False,UNAVAILABLE,
